cuban_charge_uri_fragment,cuban_charge_label,target_echr_notation,target_echr_article,mapping_weight,doctrinal_basis,cited_authorities
AtentadoType,Atentado,Art. 6,6,0.9,Pretextual assault-on-officer charges commonly used to legitimize arbitrary detention. Strasbourg addresses these under fair-trial review of the evidentiary basis.,Lutsenko v Ukraine (App. 6492/11) | Ilgar Mammadov v Azerbaijan (App. 15172/13)
AtentadoType,Atentado,Art. 5,5,0.9,"Where the Atentado charge is fabricated to justify a detention that would otherwise lack Art 5(1) grounds, the deprivation of liberty is arbitrary from inception.",Gusinskiy v Russia (App. 70276/01) | Ilgar Mammadov v Azerbaijan (App. 15172/13)
AtentadoType,Atentado,Art. 18,18,0.7,Atentado is the most explicit pretextual charge in Cuban political prosecutions: fabricated to convert a peaceful arrest into a serious offence justifying pretrial detention. Textbook Art 18 ulterior-purpose scenario.,"Kavala v Türkiye No. 2 (App. 28749/18) | Merabishvili v Georgia (Grand Chamber, App. 72508/13) | Navalnyy v Russia (Grand Chamber, App. 29580/12)"
AtentadoType,Atentado,Art. 3,3,0.5,"Atentado arrests frequently accompanied by beatings at the point of arrest, giving rise to substantive-aspect Art 3 claims and procedural-aspect duty to investigate.",
AtentadoType,Atentado,Art. 11,11,0.5,"When Atentado is applied to conduct occurring at demonstrations, the underlying restricted conduct is peaceful assembly, engaging Art 11 review of the charge's proportionality.","Frumkin v Russia (App. 74568/12) | Navalnyy v Russia (Grand Chamber, App. 29580/12)"
DesacatoType,Desacato,Art. 10,10,1.0,"Criminal contempt-of-authority statutes have been consistently held incompatible with Art 10, particularly where they protect public officials from criticism above ordinary citizens.","Colombani and Others v France (App. 51279/99) | Otegi Mondragon v Spain (App. 2034/07) | Lehideux and Isorni v France (Grand Chamber, App. 24662/94)"
DesacatoType,Desacato,Art. 18,18,0.5,"Where Desacato is applied to political dissidents rather than genuine cases of official insult, the restriction is pursued for an ulterior political purpose. Pattern documented consistently in Prisoners Defenders casework.","Merabishvili v Georgia (Grand Chamber, App. 72508/13) | Kavala v Türkiye No. 2 (App. 28749/18)"
DesacatoType,Desacato,Art. 6,6,0.4,"Fair-trial concerns arise where the truth defence is excluded, as is standard in Cuban Desacato prosecutions.",
DesordenesPublicosType,Desórdenes Públicos,Art. 11,11,1.0,"Public-disorder charges for participation in unauthorised demonstrations map directly to Art 11 assembly analysis: legality, legitimate aim, and proportionality of restriction.","Kudrevičius and Others v Lithuania (Grand Chamber, App. 37553/05) | Navalnyy v Russia (Grand Chamber, App. 29580/12)"
DesordenesPublicosType,Desórdenes Públicos,Art. 10,10,0.6,"When speech-related conduct dominates (e.g. chanting slogans, holding placards) over pure assembly, Art 10 lens applies alongside Art 11.",
DesordenesPublicosType,Desórdenes Públicos,Art. 18,18,0.6,"Systematic application of public-disorder charges to peaceful opposition demonstrations (e.g. Damas de Blanco Sunday marches, 11J protests) evidences use of the restriction for an ulterior political purpose.","Navalnyy v Russia (Grand Chamber, App. 29580/12) | Merabishvili v Georgia (Grand Chamber, App. 72508/13)"
PropagandaContraOrdenType,Propaganda Contra el Orden Constitucional,Art. 10,10,1.0,"2022 successor to Propaganda Enemiga. Broader statutory reach (covers digital dissemination), but the Art 10 doctrinal analysis is identical.","Sürek v Turkey (No. 1) (Grand Chamber, App. 26682/95) | Perinçek v Switzerland (Grand Chamber, App. 27510/08)"
PropagandaContraOrdenType,Propaganda Contra el Orden Constitucional,Art. 18,18,0.6,'Constitutional-order' framing is textbook ulterior-purpose masking.,
PropagandaContraOrdenType,Propaganda Contra el Orden Constitucional,Art. 11,11,0.5,"Frequently applied against opposition organizing, engaging assembly/association analysis.",
PropagandaEnemigaType,Propaganda Enemiga,Art. 10,10,1.0,"Cold-war era statute criminalizing 'enemy propaganda,' repurposed for dissident speech. Direct Art 10 analogue with essentially identical facts to Sürek/Ceylan Turkey line.","Sürek v Turkey (No. 1) (Grand Chamber, App. 26682/95) | Ceylan v Turkey (App. 23556/94)"
PropagandaEnemigaType,Propaganda Enemiga,Art. 18,18,0.6,"Statute's national-security framing masks a political-suppression purpose, engaging Art 18 ulterior-purpose analysis.",
ResistenciaType,Resistencia,Art. 5,5,0.8,"Charge typically appended to justify use of force during arrest and to legitimize the underlying detention. Same Art 5 pretext analysis as Atentado, weaker signal.",
ResistenciaType,Resistencia,Art. 6,6,0.6,Evidentiary weakness of the resistance narrative goes to fair-trial guarantees.,
ResistenciaType,Resistencia,Art. 3,3,0.5,Substantive-aspect ill-treatment often documented in resistance-charge arrests.,
ResistenciaType,Resistencia,Art. 18,18,0.5,Charge appended to political arrests for the ulterior purpose of adding a serious offence to what would otherwise be a peaceful-assembly arrest.,
ResistenciaType,Resistencia,Art. 11,11,0.5,"Where the underlying arrest is at a demonstration, the true restricted conduct is Art 11 protected assembly.",Frumkin v Russia (App. 74568/12)
SabotajeType,Sabotaje,Art. 6,6,0.8,Sabotage charges applied to protest-adjacent property damage or symbolic acts frequently rest on tenuous evidentiary bases and long pretrial detention.,
SabotajeType,Sabotaje,Art. 5,5,0.7,Sabotage is a serious offence enabling extended pretrial detention (Art 5-3) even where the underlying acts are minor.,
SabotajeType,Sabotaje,Art. 18,18,0.6,Escalation from minor property offences to sabotage charge indicates ulterior political purpose.,
SabotajeType,Sabotaje,Art. 10,10,0.5,"When applied to symbolic expressive acts (defacement of state signage, symbolic vandalism), engages Art 10 analysis.",
SedicionType,Sedición,Art. 10,10,1.0,ICCPR Art 19 / ECHR Art 10 expression. Sedición prosecutions target speech and organizing that advocates political change. Strasbourg treats criminalization of peaceful advocacy of political change as Art 10 violation.,Ceylan v Turkey (App. 23556/94) | Gül and Others v Turkey (App. 4870/02) | Otegi Mondragon v Spain (App. 2034/07)
SedicionType,Sedición,Art. 11,11,0.9,"When Sedición covers protest participation or opposition organizing, Art 11 assembly is the closer analogue than pure expression.","Kudrevičius and Others v Lithuania (Grand Chamber, App. 37553/05)"
SedicionType,Sedición,Art. 18,18,0.7,Aggressive stacking of political-crime charges is the paradigm Art 18 scenario: legitimate-looking restriction (detention pending trial) applied for ulterior political purpose.,"Merabishvili v Georgia (Grand Chamber, App. 72508/13) | Navalnyy v Russia (Grand Chamber, App. 29580/12)"
SedicionType,Sedición,Art. 6,6,0.5,"Cuban military-tribunal or summary procedures for Sedición frequently violate independence, impartiality, and equality of arms.",
